show_id,category,title,director,cast,country,release_date,rating,duration,type,description,release_year,release_month,duration_value,duration_unit
s297,Movie,across the line,julien christian lutz,"sarah jeffery, simon paul mutuyimana, denis theriault, jeremiah sparks, steven love, cara ricketts, jim codrington, shamier anderson, stephan james, lanette ware, hugh thompson",canada,2019-04-01,TV-MA,88 min,"dramas, sports movies","a black high school student sets his sights for the national hockey league, but rising racial tensions in his community may jeopardize his goals.",2019,4,88,min
s298,Movie,across the universe,julie taymor,"evan rachel wood, jim sturgess, joe anderson, dana fuchs, martin luther, james urbaniak, t.v. carpio, spencer liff","united states, united kingdom",2019-01-01,PG-13,133 min,"dramas, music & musicals, romantic movies","an american girl and a british lad fall in love amid the social and political upheaval of the 1960s, in this musical featuring songs by the beatles.",2019,1,133,min
s299,Movie,act of valor,"mike mccoy, scott waugh","keo woolford, drea castro, emilio rivera, rorke denver, jason cottle, ailsa marshall, alex veadov, dave, roselyn sanchez, thomas rosales jr., nestor serrano, gonzalo menendez",united states,2020-06-01,R,110 min,action & adventure,an elite squad of navy seals is tasked with rescuing a kidnapped cia agent from a lethal terrorist cell.,2020,6,110,min
s300,Movie,act of vengeance,mahsun kırmızıgül,"haluk bilginer, mahsun kırmızıgül, mustafa sandal, gina gershon, robert patrick, danny glover, engin altan düzyatan, scott william winters, sharrieff pugh","turkey, united states",2018-09-29,NR,112 min,"action & adventure, international movies","two turkish agents are sent to new york city on a mission to capture a notorious terrorist known only as ""dejjal"" (arabic for antichrist).",2018,9,112,min
s301,Movie,action replayy,vipul amrutlal shah,"akshay kumar, aishwarya rai bachchan, om puri, kiron kher, neha dhupia, rannvijay singh, aditya roy kapur, sudeepa singh, randhir kapoor, rajpal yadav",india,2020-05-11,TV-PG,129 min,"children & family movies, comedies, international movies","sick of his parents’ constant squabbling, a young man travels back in time to the onset of their romance, with plans to set them up for marital bliss.",2020,5,129,min
s302,Movie,acts of vengeance,isaac florentine,"antonio banderas, karl urban, paz vega, robert forster, clint dyer, cristina serafini, lillian blankenship, atanas srebrev, mark rhino smith","bulgaria, united states",2018-01-25,R,87 min,"action & adventure, international movies","devastated by the murder of his wife and child, a formerly fast-talking lawyer takes a vow of silence and trains himself for a mission of revenge.",2018,1,87,min
s303,Movie,acts of violence,brett donowho,"cole hauser, bruce willis, shawn ashmore, ashton holmes, melissa bolona, patrick st. esprit, sophia bush, mike epps",canada,2020-08-01,R,87 min,action & adventure,"when his future sister-in-law is kidnapped by human traffickers, a military veteran joins forces with his brothers and a world-weary cop to rescue her.",2020,8,87,min
s304,TV Show,ad vitam,"raúl campos, jan suter","yvan attal, garance marillier, niels schneider, victor assié, rod paradot, anne azoulay, adel bencherif",france,2019-11-01,TV-MA,1 Season,"crime tv shows, international tv shows, tv dramas","in a future where regeneration technology lets humans live indefinitely, a cop and a troubled young woman investigate a strange wave of youth suicides.",2019,11,1,Season
s305,Movie,adú,salvador calvo,"luis tosar, anna castillo, álvaro cervantes, miquel fernández, jesús carroza, moustapha oumarou, adam nourou, zayidiyya dissou, ana wagener, nora navas",spain,2020-07-01,TV-MA,120 min,"dramas, international movies","near a spanish town in northern africa, a child takes a painful journey, a father reconnects with his daughter and a coast guard is guilt stricken.",2020,7,120,min
s306,Movie,adam devine: best time of our lives,jay karas,adam devine,united states,2019-06-18,TV-MA,59 min,stand-up comedy,"frenetic comic adam devine talks teen awkwardness, celebrity encounters, his ""pitch perfect"" audition and more in a special from his hometown of omaha.",2019,6,59,min
s307,TV Show,adam ruins everything,"raúl campos, jan suter","adam conover, adam lustick, emily axford",united states,2018-09-30,TV-14,1 Season,tv comedies,"education can be fun – and funny. comedian adam conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.",2018,9,1,Season
s308,Movie,adam sandler 100% fresh,steve brill,adam sandler,united states,2018-10-23,TV-MA,74 min,stand-up comedy,"from ""heroes"" to ""ice cream ladies"" – adam sandler's comedy special hits you with new songs and jokes in an unexpected, groundbreaking way.",2018,10,74,min
s309,Movie,adam: his song continues,robert markowitz,"daniel j. travanti, jobeth williams, richard masur, martha scott, paul regina",united states,2011-10-01,TV-MA,96 min,dramas,"after their child was abducted and murdered, john and reve walsh fought to raise national awareness of the problem of missing children.",2011,10,96,min
s310,Movie,addicted to life,thierry donard,"antoine bizet, jesse richman, karsten gefle, wille lindberg, matahi drollet, mathias wyss, matt annetts",france,2020-06-12,TV-14,91 min,"action & adventure, documentaries, international movies","chasing extreme challenges, athletic daredevils test their limits in various environments from giant waves to snowy slopes around the world.",2020,6,91,min
s311,Movie,adel karam: live from beirut,"raúl campos, jan suter",adel karam,united states,2018-03-01,TV-MA,59 min,stand-up comedy,"from casino du liban, lebanese actor and comedian adel karam delivers earthy punchlines on kissing norms, colonoscopies and a porn star named rocco.",2018,3,59,min
s312,Movie,adhugo,"raúl campos, jan suter",david attenborough,india,2019-01-15,TV-14,105 min,"comedies, international movies, thrillers",a fast-footed piglet named bunty becomes an object of desire for rival criminals that want the swift swine for their profitable animal-racing schemes.,2019,1,105,min
s313,Movie,aditi mittal: things they wouldn't let me say,fazila allana,aditi mittal,india,2017-07-18,TV-MA,63 min,stand-up comedy,"trailblazing comic aditi mittal mixes topical stand-up with frank talk about being single, wearing thongs and the awkwardness of indian movie ratings.",2017,7,63,min
s314,Movie,adore,anne fontaine,"naomi watts, robin wright, xavier samuel, james frecheville, ben mendelsohn, jessica tovey, sophie lowe, gary sweet, alyson standen, skye sutherland, sarah henderson","australia, france",2019-11-20,R,111 min,"dramas, independent movies, international movies","when lifelong friends roz and lil fall in love with each other's teenage sons, they must carry out their affairs in relative secrecy.",2019,11,111,min
s315,Movie,adrift,baltasar kormákur,"shailene woodley, sam claflin, jeffrey thomas, elizabeth hawthorne","hong kong, iceland, united states",2020-09-01,PG-13,96 min,"action & adventure, dramas, romantic movies",a young couple’s sailing adventure becomes a fight to survive when their yacht faces a catastrophic hurricane in this story based on true events.,2020,9,96,min
s316,Movie,adrishya,sandeep chatterjee,"ravi kumar, ayesha singh, nishat mallick, archana kotwal, rakesh chaturvedi om, nidhi mahavan, abhijit sinha, abdur rehman",india,2019-12-31,TV-14,99 min,"horror movies, independent movies, international movies",a family’s harmonious existence is interrupted when the young son begins showing symptoms of anxiety that seem linked to disturbing events at home.,2019,12,99,min
s317,Movie,advantageous,jennifer phang,"jacqueline kim, james urbaniak, freya adams, ken jeong, jennifer ehle, samantha kim, troi zee, olivia horton, jennifer ikeda, mercedes griffeth",united states,2015-06-23,TV-MA,92 min,"dramas, independent movies, sci-fi & fantasy","in order to keep her job at a biomedical engineering firm that prizes youth, a middle-aged woman must submit to a drastic experimental procedure.",2015,6,92,min
s318,Movie,adventures in public school,kyle rideout,"daniel doheny, judy greer, siobhan williams, russell peters, grace park, andrew mcnee, alex barima, andrew herr, eva day, josh epstein","canada, united states",2018-08-15,NR,86 min,comedies,"after years of home-schooling, an awkward teen decides he wants a public high school experience, but his overbearing mother struggles to let go.",2018,8,86,min
s319,Movie,aerials,s.a. zaidi,"saga alyasery, ana druzhynina, mansour al felei, mohammad abu diak, pascale matar, luke coutts, abeer mohammed",united arab emirates,2020-05-07,TV-14,90 min,"international movies, sci-fi & fantasy",dubai residents struggle to figure out why a fleet of alien spaceships are hovering over their city when all contact with the outside world is cut off.,2020,5,90,min
s320,TV Show,afflicted,"raúl campos, jan suter",david attenborough,united states,2018-08-10,TV-MA,1 Season,"docuseries, reality tv, science & nature tv",baffling symptoms. controversial diagnoses. costly treatments. seven people with chronic illnesses search for answers – and relief.,2018,8,1,Season
s321,Movie,afonso padilha: classless,"junior carelli, rudge campos",afonso padilha,brazil,2020-09-03,TV-MA,63 min,stand-up comedy,brazilian comedian afonso padilha dives into his humble beginnings and digs out hilarious stories about his childhood in this very personal set.,2020,9,63,min
s322,TV Show,africa,"raúl campos, jan suter",david attenborough,united kingdom,2016-04-28,TV-PG,1 Season,"british tv shows, docuseries, international tv shows","this five-part nature series chronicles fascinating stories of survival on the african continent, home to the most diverse animal life on the planet.",2016,4,1,Season
s323,TV Show,afronta! facing it!,juliana vicente,"loo nascimento, ingrid silva, rincon sapiência, batekoo, gabriel martins, benjamin abras, daniele damata, tasha & tracie okereke, mariana de matos, andré novais, mahal pita, grace passô, thamyra thâmara, xenia frança, criola, dani ornellas, anelis assumpção, magá moura, tássia reis, liniker, yasmin thayná, raquel virgínia, juliana luna, erica malunguinho, diane lima, karol conká",brazil,2020-10-31,TV-PG,1 Season,"docuseries, international tv shows","this docuseries spotlights afro-brazilian thinkers sharing their individual journeys and discussing representation, entrepreneurship and community.",2020,10,1,Season
s324,Movie,after,jenny gage,"josephine langford, hero fiennes tiffin, selma blair, inanna sarkis, shane paul mcghie, pia mia, khadijha red thunder, dylan arnold, samuel larsen, jennifer beals, peter gallagher",united states,2019-10-09,PG-13,106 min,"dramas, romantic movies","wholesome college freshman tessa young thinks she knows what she wants out of life, until she crosses paths with complicated bad boy hardin scott.",2019,10,106,min
s325,TV Show,after life,"raúl campos, jan suter","ricky gervais, tom basden, tony way, diane morgan, mandeep dhillon, david bradley, ashley jensen, kerry godliman",united kingdom,2020-04-24,TV-MA,2 Seasons,"british tv shows, international tv shows, tv comedies","struggling to come to terms with his wife's death, a writer for a newspaper adopts a gruff new persona in an effort to push away those trying to help.",2020,4,2,Seasons
s326,Movie,after maria,nadia hallgren,david attenborough,united states,2019-05-24,TV-PG,38 min,documentaries,"displaced by hurricane maria, three puerto rican women navigate their families' uncertain futures as their federal housing aid in new york expires.",2019,5,38,min
s327,Movie,after porn ends,bryce wagoner,david attenborough,united states,2019-05-27,NR,93 min,documentaries,"this documentary explores the careers of some of porn's top stars and examines their adjustment to ""normal"" society after leaving adult entertainment.",2019,5,93,min
s328,Movie,after porn ends 3,brittany andrews,david attenborough,united states,2018-12-30,TV-MA,87 min,documentaries,this third installment in a documentary series examines the lives of the adult film genre's biggest stars after their industry careers have ended.,2018,12,87,min
s329,Movie,after the raid,rodrigo reyes,david attenborough,"united states, mexico",2019-12-19,TV-PG,25 min,"documentaries, international movies",a large immigration raid in a small town leaves emotional fallout and hard questions for its churchgoers about what it means to love thy neighbor.,2019,12,25,min
s330,Movie,after we collided,roger kumble,"josephine langford, hero fiennes tiffin, dylan sprouse, selma blair, louise lombard, shane paul mcghie, candice king, charlie weber, khadijha red thunder, inanna sarkis, pia mia, samuel larsen, dylan arnold, karimah westbrook, rob estes",united states,2020-12-22,R,105 min,"dramas, romantic movies","tessa fell hard and fast for hardin, but after a betrayal tears them apart, she must decide whether to move on — or trust him with a second chance.",2020,12,105,min
s331,Movie,aftermath,elliott lester,"arnold schwarzenegger, scoot mcnairy, maggie grace, judah nelson, glenn morshower, hannah ware, mo mcrae, martin donovan, larry sullivan, mariana klaveno, kevin zegers, lewis pullman","united kingdom, united states",2020-03-15,R,94 min,dramas,"after an air traffic controller's mistake results in a tragic accident, a man who lost his wife and daughter seeks answers from the man responsible.",2020,3,94,min
s332,Movie,afterschool,antonio campos,"ezra miller, addison timlin, jeremy allen white, michael stuhlbarg, emory cohen, david costabile, rosemarie dewitt, dariusz m. uczkowski, gary wilmes, paul sparks, alexandra neil, lee wilkof",united states,2020-08-13,TV-MA,107 min,"dramas, independent movies","when a prep school loner films two classmates overdosing on cocaine, his footage plays a role in the emotional fallout within the school community.",2020,8,107,min
s333,Movie,aftershock,nicolás lópez,"eli roth, andrea osvárt, ariel levy, natasha yarovenko, nicolás martínez, lorenza izzo, marcial tagle, ramón llao, ignacia allamand, paz bascuñán","united states, chile",2018-03-07,R,89 min,"action & adventure, horror movies","an american tourist and his friends are partying in chile, but a major earthquake devastates the area and forces them to scramble for survival.",2018,3,89,min
s334,TV Show,against the tide,"raúl campos, jan suter","christopher lee, rui en, desmond tan, zheng geping, zhang zhenhuan, paige chua, xu bin, carrie wong",singapore,2017-07-01,TV-14,1 Season,"crime tv shows, international tv shows, tv dramas",a detective and a psychologist investigating a string of murders form a crime-solving team with the novelist whose work inspired the killings.,2017,7,1,Season
s335,Movie,agatha and the truth of murder,terry loane,"ruth bradley, pippa haywood, dean andrews, bebe cave, blake harrison, tim mcinnerny, ralph ineson, michael mcelhatton",united kingdom,2019-01-31,TV-MA,92 min,dramas,"in a dramatized depiction of her 11-day disappearance, novelist agatha christie solving a real murder amid a crisis in her writing and marriage.",2019,1,92,min
s336,TV Show,age gap love,"raúl campos, jan suter",fay ripley,united kingdom,2019-07-12,TV-MA,1 Season,"british tv shows, reality tv, romantic tv shows","despite the social backlash and challenges that come with intergenerational romance, these couples choose to stick together through thick and thin.",2019,7,1,Season
s337,TV Show,age of glory,"raúl campos, jan suter","debbie goh, aenie wong, frederick lee, leslie chai",united states,2017-08-14,TV-MA,2 Seasons,"international tv shows, romantic tv shows, tv dramas","amid the thriving nightlife of 1960s kuala lumpur, three chinese friends – a showgirl, her housekeeper and a chanteuse – find love and heartbreak.",2017,8,2,Seasons
s338,TV Show,age of rebellion,peter ho,"peter ho, jeanine yang, tammy chen, jason tsou, chang ting-hu, nana lee, nien hsuan wu",taiwan,2018-09-01,TV-MA,1 Season,"crime tv shows, international tv shows, tv dramas","at their high school, a group of unruly teens wreak havoc, face bullies and navigate turbulent lives beyond school grounds.",2018,9,1,Season
s339,TV Show,age of tanks,"raúl campos, jan suter",david attenborough,"germany, france, russia",2018-11-10,TV-PG,1 Season,"docuseries, international tv shows, science & nature tv",the history of military tanks unfolds in a documentary series that traces their role in history and geopolitics from world war i to the 21st century.,2018,11,1,Season
s340,TV Show,agent,"raúl campos, jan suter","khumbulani kay sibiya, sisanda henna, tarynn wyngaard, anthony oseyemi, virgile bramly, manie malone, yannick konnan, vinaya sungkur, michaella russell, thabo malema","mauritius, south africa",2019-12-20,TV-MA,1 Season,"international tv shows, tv dramas","a former footballer tries to make it as a player agent in the world of african soccer, but a secret from his past threatens to destroy everything.",2019,12,1,Season
s341,TV Show,agent raghav,"raúl campos, jan suter","sharad kelkar, aahana kumra, mahesh manjrekar, deepali pansare, danish pandor, jason tham, reena aggarwal, swati rajput",india,2017-04-15,TV-14,1 Season,"crime tv shows, international tv shows, tv action & adventure","a mix of brilliance, erudition and skill enables a modern sherlock holmes to solve impossible cases, all while he tries to heal personal wounds.",2017,4,1,Season
s342,TV Show,aggretsuko,"raúl campos, jan suter","kaolip, komegumi koiwasaki, maki tsuruta, sohta arai, rina inoue, shingo kato, yuki takahashi",japan,2020-08-27,TV-14,3 Seasons,"anime series, international tv shows","frustrated with her thankless office job, retsuko the red panda copes with her daily struggles by belting out death metal karaoke after work.",2020,8,3,Seasons
s343,Movie,aggretsuko: we wish you a metal christmas,rarecho,"kaolip, shingo kato, komegumi koiwasaki, maki tsuruta, sohta arai, rina inoue, yuki takahashi, rarecho",japan,2018-12-20,TV-PG,22 min,movies,"while retsuko desperately makes plans for christmas eve, her new obsession with seeking validation through social media spirals out of control.",2018,12,22,min
s344,Movie,agneepath,mukul anand,"amitabh bachchan, mithun chakraborty, danny denzongpa, madhavi, neelam, alok nath, rohini hattangadi, tinnu anand, vikram gokhale, archana puran singh",india,2020-04-01,TV-14,174 min,"dramas, international movies","a boy grows up to become a gangster in pursuit of the mobster who killed his innocent father, but revenge and reparation may come at great costs.",2020,4,174,min
s345,Movie,agustín aristarán: soy rada,mariano baez,agustín aristarán,argentina,2018-02-16,TV-MA,60 min,stand-up comedy,"argentine comedian agustín ""radagast"" aristarán adds doses of magic, music and acting to his high-energy stand-up routine.",2018,2,60,min
s346,Movie,agyaat,ram gopal varma,"adesh bhardwaj, rasika dugal, joy fernandes, ravi kale, ishtiyak khan, priyanka kothari, kali prasad mukherjee, nitin reddy, gautam rode, howard rosemeyer",india,2018-10-01,TV-14,97 min,"horror movies, international movies",a film crew shooting in a remote forested location begins losing members one by one to a mysterious entity that they cannot see or hear.,2018,10,97,min
s347,Movie,ahista ahista,shivam nair,"abhay deol, soha ali khan, shayan munshi, kamini khanna, sohrab ardeshir, murad ali, shakeel khan, natasha sinha, brijendra kala",india,2019-12-31,TV-14,122 min,"dramas, international movies, romantic movies","stood up by her groom at the altar, a young woman finds help and healing from another man – until her ex-fiancé returns, hoping to win her back.",2019,12,122,min
s348,Movie,ai weiwei: never sorry,alison klayman,"ai weiwei, lao ai",united states,2018-03-01,R,91 min,documentaries,chinese artist and activist ai weiwei uses social media and art to inspire protests and suffers government persecution for his actions.,2018,3,91,min
s349,TV Show,ainori love wagon: african journey,"raúl campos, jan suter","becky, ryo kato, karina maruyama, kohei takeda",japan,2020-01-30,TV-14,1 Season,"international tv shows, reality tv, romantic tv shows","to find love, seven strangers leave japan and embark on a journey through the continent of africa together. challenges, adventure and romance await!",2020,1,1,Season
s350,TV Show,ainori love wagon: asian journey,"raúl campos, jan suter","becky, audrey, mayuko kawakita, shimon okura",japan,2019-03-28,TV-MA,2 Seasons,"international tv shows, reality tv, romantic tv shows","seven men and women board a pink bus in search of true love. on a journey through asia with strangers, their goal is to return to japan as a couple.",2019,3,2,Seasons
s351,TV Show,ainsley eats the streets,"raúl campos, jan suter",ainsley harriott,united kingdom,2019-07-12,TV-PG,1 Season,"british tv shows, docuseries, international tv shows",celebrity chef ainsley harriott embarks on a journey around the world to explore the relationship between local street foods and cultural identity.,2019,7,1,Season
s352,Movie,ainu mosir,takeshi fukunaga,"kanto shimokura, debo akibe, emi shimokura, toko miura, lily franky","united states, japan",2020-11-17,TV-PG,84 min,"dramas, international movies",a sensitive ainu teen searches for a spiritual connection with his recently deceased dad while navigating his indigenous identity in a changing world.,2020,11,84,min
s353,Movie,airplane mode,césar rodrigues,"larissa manoela, andré luiz frambach, erasmo carlos, mariana amâncio, amanda orestes, eike duarte, nayobe nzainab, katiuscia canoro, phellyx moura, dani ornellas, michel bercovitch, sílvia lourenço",united states,2020-01-23,TV-PG,97 min,"comedies, international movies, romantic movies","when ana, an influencer, crashes her car while talking on the phone, she’s shipped to her grumpy grandfather's farm – and forced into a digital detox.",2020,1,97,min
s354,Movie,aisa yeh jahaan,biswajeet bora,"palash sen, ira dubey, yashpal sharma, tinnu anand, prisha dabbas, kymsleen kholie, satish sharma",india,2017-10-15,TV-14,127 min,"dramas, independent movies, international movies","during a vacation with her parents, away from her concrete urban existence, a young girl learns to appreciate the joys of connecting with nature.",2017,10,127,min
s355,Movie,aitraaz,"abbas alibhai burmawalla, mastan alibhai burmawalla","akshay kumar, kareena kapoor, priyanka chopra, amrish puri, paresh rawal, annu kapoor",india,2018-03-01,TV-14,153 min,"international movies, music & musicals, romantic movies",a happily married business executive is forced to deal with an episode from his past that he had long thought was put behind him.,2018,3,153,min
s356,Movie,aiyaary,neeraj pandey,"sidharth malhotra, manoj bajpayee, rakul preet singh, pooja chopra, adil hussain, kumud mishra, naseeruddin shah, anupam kher, vikram gokhale, juhi babbar",india,2018-05-15,TV-MA,158 min,"action & adventure, dramas, international movies","when his protégé goes rogue and poses a grave threat to the government he serves, a veteran officer of the indian army tries to stop him at all costs.",2018,5,158,min
s357,Movie,aiyyaa,sachin kundalkar,"rani mukerji, prithviraj sukumaran, nirmiti sawant, subodh bhave, jyoti subhash, satish alekar, anita date, amey wagh, kishori balal, pakoda pandi",india,2020-07-05,TV-14,151 min,"comedies, international movies, music & musicals","an outspoken, imaginative girl from a conservative family pursues her dream man while fending off the prospect of an arranged marriage.",2020,7,151,min
s358,TV Show,aj and the queen,"raúl campos, jan suter","rupaul charles, izzy g., michael-leon wooley, josh segarra, katerina tannenbaum, tia carrere",united states,2020-01-10,TV-14,1 Season,"tv comedies, tv dramas","while traveling across the country in a run-down rv, drag queen ruby red discovers an unlikely sidekick in aj: a tough-talking 10-year-old stowaway.",2020,1,1,Season
s359,Movie,ajab prem ki ghazab kahani,rajkumar santoshi,"ranbir kapoor, katrina kaif, govind namdeo, darshan jariwala, zakir hussain, smita jaykar, navneet nishan, dolly bindra, upen patel",india,2020-10-25,TV-14,150 min,"comedies, international movies, music & musicals","a young man's obsession with making others happy drives him to help the girl he loves marry someone else, then try to win her heart.",2020,10,150,min
s360,TV Show,ajaibnya cinta,"raúl campos, jan suter",david attenborough,united states,2017-10-13,TV-PG,1 Season,"international tv shows, tv dramas","upon returning home from his studies abroad, young grad akif finds himself involved with four women in this continuation of the series ""spain uoolss.""",2017,10,1,Season
s361,TV Show,ajin: demi-human,"raúl campos, jan suter","mamoru miyano, yoshimasa hosoya, jun fukuyama, hochu otsuka, daisuke hirakawa, takahiro sakurai, mikako komatsu, hiroyuki kinoshita, aya suzaki",japan,2016-12-27,TV-MA,2 Seasons,"anime series, international tv shows",a teenager discovers that he is an ajin and flees before the authorities experiment on him. other ajin plan to fight back and he must choose a side.,2016,12,2,Seasons
s362,Movie,ajji,devashish makhija,"sushama deshpande, abhishek banerjee, smita tambe, sharvani suryavanshi, vikas kumar, sadiya siddiqui, sudhir pandey, manuj sharma",india,2018-05-01,TV-MA,105 min,"dramas, international movies","when her small granddaughter is sexually assaulted by a powerful man and no justice is served, a poor, frail old woman plots her violent revenge.",2018,5,105,min
s363,Movie,ak vs ak,vikramaditya motwane,"anil kapoor, anurag kashyap",india,2020-12-25,TV-MA,109 min,"comedies, dramas, international movies","after a public spat with a movie star, a disgraced director retaliates by kidnapping the actor’s daughter, filming the search for her in real time.",2020,12,109,min
s364,TV Show,akame ga kill!,"raúl campos, jan suter","sora amamiya, soma saito, yukari tamura, yuu asakawa, mamiko noto, yoshitsugu matsuoka, katsuyuki konishi, risa mizuno, satomi akesaka",japan,2020-03-01,TV-14,1 Season,"anime series, crime tv shows, international tv shows","tatsumi sets out on a journey to help his poor village. when he's rescued by a band of assassins, he joins their fight against the corrupt government.",2020,3,1,Season
s365,TV Show,akbar birbal,"raúl campos, jan suter","kiku sharda, vishal kotian, delnaaz irani",india,2020-03-31,TV-G,1 Season,"kids' tv, tv comedies, tv dramas","from battles of wit to fights for justice, emperor akbar and his trusty advisor birbal display their unique bond through adventures in mughal-era india.",2020,3,1,Season
s366,TV Show,akulah balqis,pali yahya,"puteri balqis, aeril zafrel, nabila huda, nazim othman, nadia brian, bella dally",united states,2017-11-03,TV-14,1 Season,"international tv shows, tv dramas","a little girl must enter an orphanage after her parents are arrested, but her life takes a dramatic turn when she escapes and meets a model.",2017,11,1,Season
s367,Movie,al acecho,francisco d'eufemia,"rodrigo de la serna, belen blanco, walter jakob, facundo aquinos, patricia calisaya",united states,2021-01-12,TV-MA,81 min,"international movies, thrillers","looking for a fresh start, a park ranger gets a new assignment. when he discovers a network of poachers, survival depends on his lethal instincts.",2021,1,81,min
s368,TV Show,al hayba,"raúl campos, jan suter","taim hasan, nadine nassib njeim, abdo chahine, oweiss mkhallalati, mona wassef",lebanon,2018-09-15,TV-14,1 Season,"crime tv shows, international tv shows, tv dramas","in a village by the lebanon-syria border, the head of an arms-smuggling clan contends with family conflicts, power struggles and complicated love.",2018,9,1,Season
s369,Movie,ala vaikunthapurramuloo,trivikram srinivas,"allu arjun, pooja hegde, tabu, sushanth, nivetha pethuraj, jayaram, murli sharma",india,2020-02-27,TV-14,162 min,"action & adventure, comedies, dramas","after growing up enduring criticism from his father, a young man finds his world shaken upon learning he was switched at birth with a millionaire’s son.",2020,2,162,min
s370,Movie,alakada reloaded,toyin abraham,"kehinde bankole, lilian esoro, bolaji amusan, toyin abraham, gabriel afolayan, bidemi kosoko, wumi toriola, tayo amokade, helen paul, liz dasilva",united states,2020-03-06,TV-MA,104 min,"comedies, international movies","to cope with her feelings of inferiority, a woman from an impoverished family tells tall tales of her wealth and influence to upgrade her social status.",2020,3,104,min
s371,Movie,alan saldaña: mi vida de pobre,"raúl campos, jan suter",alan saldaña,mexico,2017-08-04,TV-MA,54 min,stand-up comedy,mexican comic alan saldaña has fun with everything from the pressure of sitting in an exit row to maxing out his credit card in this stand-up special.,2017,8,54,min
s372,Movie,alarmoty in the land of fire,"raúl campos, jan suter",david attenborough,egypt,2019-08-05,TV-MA,94 min,"comedies, international movies","while vacationing at a resort, an ornery and outspoken man is held captive by a criminal organization.",2019,8,94,min
s373,Movie,alaska is a drag,shaz bennett,"martin l. washington jr., maya washington, matt dallas, christopher o'shea, jason scott lee, margaret cho, kevin daniels, john fleck, nia peeples, adam tomei",united states,2020-12-31,TV-MA,83 min,"dramas, lgbtq movies","tormented by bullies, an aspiring drag star working at an alaskan cannery becomes a skilled fighter and is tapped for competition by a boxing coach.",2020,12,83,min
s374,Movie,albert pinto ko gussa kyun aata hai?,soumitra ranade,"nandita das, manav kaul, saurabh shukla, kishore kadam, omkar das manikpuri, amarjeet amle, yusuf hussain, sushma bakshi",india,2019-12-31,TV-MA,85 min,"dramas, independent movies, international movies","as the police investigate his disappearance, a young man heads to goa to carry out an act of vengeance fueled by years of pent-up anger toward society.",2019,12,85,min
s375,Movie,albion: the enchanted stallion,castille landon,"daniel sharman, jennifer morrison, debra messing, stephen dorff, john cleese, liam mcintyre, richard kind, avery arendes, castille landon","united states, bulgaria",2017-07-01,TV-PG,106 min,children & family movies,"after a magical horse transports her to a fantasy world ruled by an evil general, a brave girl sets out to save the land once and for all.",2017,7,106,min
s376,Movie,alejandro riaño: especial de stand up,"raúl campos, jan suter",alejandro riaño,colombia,2018-01-10,TV-MA,60 min,stand-up comedy,"colombian comedian alejandro riaño discusses the perks of dating a she-wolf, styles of dancing, the quirks of bogotá men and soccer game announcers.",2018,1,60,min
s377,Movie,alejandro sanz: what i was is what i am,"gervasio iglesias, alexis morante",alejandro sanz,spain,2018-08-18,TV-MA,102 min,"documentaries, international movies, music & musicals",a retrospective look at the life and career of grammy-award winning spanish musician alejandro sanz.,2018,8,102,min
s378,Movie,alelí,leticia jorge romero,"néstor guzzini, mirella pascual, cristina morán, romina peluffo, laila reyes silberberg, pablo tate, gerónimo pizzanelli, georgina yankelevich, julio icasuriaga, carla moscatelli","uruguay, argentina",2020-04-16,TV-MA,88 min,"comedies, dramas, international movies","mourning their father's death, a dysfunctional trio of siblings must face selling their beloved childhood beach house — and dealing with each other.",2020,4,88,min
s379,Movie,alex fernández: the best comedian in the world,alex díaz,alex fernández,mexico,2020-01-23,TV-MA,51 min,stand-up comedy,comic alex fernández performs his familiar autobiographical stories but goes a little deeper this time with a tender tale about one of his six siblings.,2020,1,51,min
s380,Movie,alex strangelove,craig johnson,"daniel doheny, madeline weinstein, antonio marziale, daniel zolghadri, annie q., nik dodani, fred hechinger, kathryn erbe, isabella amara, sophie faulkenberry",united states,2018-06-08,TV-MA,100 min,"comedies, dramas, independent movies",high school senior alex truelove's plan to lose his virginity to lovable girlfriend claire goes awry when he meets the equally lovable elliot.,2018,6,100,min
s381,TV Show,alexa & katie,"raúl campos, jan suter","paris berelc, isabel may, tiffani thiessen, emery kelly, jolie jenkins, kerri medders, finn carr, eddie shin",united states,2020-06-13,TV-G,4 Seasons,"kids' tv, tv comedies","alexa is battling cancer. but with her best friend, katie, by her side, she's also starting high school – and ready for whatever comes next.",2020,6,4,Seasons
s382,Movie,alexandria ... why?,youssef chahine,"naglaa fathi, farid shawqy, mohsen mohiedine, ezzat el alaili, abdalla mahmoud, youssef wahby, yehia chahine, laila fawzy, mahmoud el meleigy, ahmed zaki, gerry sundquist","egypt, algeria",2020-06-18,TV-MA,131 min,"classic movies, dramas, international movies","living in alexandria during world war ii, an egyptian teen enamored with american films dreams of making it in hollywood.",2020,6,131,min
s383,Movie,alexandria: again and forever,youssef chahine,"youssef chahine, yousra, hussein fahmy, amr abdel-geleel, taheya cariocca, hesham selim, huda sultan, ragaa hussein","france, egypt",2020-06-18,TV-MA,109 min,"classic movies, dramas, international movies","at the peak of his career, yehia joins a hunger strike, becomes smitten and reckons with a creative crisis — but finds a new muse.",2020,6,109,min
